41.1 1.09 1.31 1.54 1.76 1.99 2.21 2.43
41.2 1.11 1.33 1.55 1.78 2 2.23 2.45
41.3 1.12 1.35 1.57 1.8 2.02 2.25 2.47
41.4 1.14 1.36 1.59 1.81 2.04 2.27 2.49
41.5 1.15 1.38 1.6 1.83 2.06 2.28 2.51
41.6 1.17 1.39 1.62 1.85 2.08 2.3 2.53
41.7 1.18 1.41 1.64 1.87 2.09 2.32 2.55
41.8 1.2 1.43 1.66 1.88 2.11 2.34 2.57
41.9 1.22 1.44 1.67 1.9 2.13 2.36 2.59
42 1.23 1.46 1.69 1.92 2.15 2.38 2.61
42.1 1.25 1.48 1.71 1.94 2.17 2.4 2.63
42.2 1.26 1.49 1.72 1.95 2.19 2.42 2.65
42.3 1.28 1.51 1.74 1.97 2.2 2.44 2.67
42.4 1.29 1.53 1.76 1.99 2.22 2.45 2.69
42.5 1.31 1.54 1.78 2.01 2.24 2.47 2.71
42.6 1.33 1.56 1.79 2.03 2.26 2.49 2.73
42.7 1.34 1.58 1.81 2.04 2.28 2.51 2.75
42.8 1.36 1.59 1.83 2.06 2.3 2.53 2.77
42.9 1.37 1.61 1.84 2.08 2.32 2.55 2.79
43 1.39 1.63 1.86 2.1 2.33 2.57 2.81
43.1 1.4 1.64 1.88 2.12 2.35 2.59 2.83
43.2 1.42 1.66 1.9 2.13 2.37 2.61 2.85
43.3 1.44 1.67 1.91 2.15 2.39 2.63 2.87
43.4 1.45 1.69 1.93 2.17 2.41 2.65 2.89
43.5 1.47 1.71 1.95 2.19 2.43 2.67 2.91
43.6 1.48 1.72 1.97 2.21 2.45 2.69 2.93
43.7 1.5 1.74 1.98 2.22 2.47 2.71 2.95
