47 2.32 2.39 2.48 2.83 3.18 3.28 3.35
47.1 2.34 2.4 2.5 2.85 3.2 3.3 3.37
47.2 2.36 2.42 2.52 2.87 3.22 3.32 3.39
47.3 2.37 2.44 2.54 2.89 3.24 3.34 3.41
47.4 2.39 2.45 2.55 2.91 3.26 3.36 3.43
47.5 2.41 2.47 2.57 2.93 3.28 3.38 3.45
47.6 2.42 2.49 2.59 2.95 3.3 3.4 3.47
47.7 2.44 2.5 2.61 2.96 3.32 3.42 3.49
47.8 2.45 2.52 2.62 2.98 3.34 3.44 3.51
47.9 2.47 2.54 2.64 3 3.36 3.47 3.53
48 2.49 2.55 2.66 3.02 3.38 3.49 3.55
48.1 2.5 2.57 2.67 3.04 3.4 3.51 3.57
48.2 2.52 2.59 2.69 3.06 3.42 3.53 3.59
48.3 2.54 2.61 2.71 3.08 3.44 3.55 3.62
48.4 2.55 2.62 2.73 3.1 3.46 3.57 3.64
48.5 2.57 2.64 2.74 3.11 3.48 3.59 3.66
48.6 2.59 2.66 2.76 3.13 3.5 3.61 3.68
48.7 2.6 2.67 2.78 3.15 3.53 3.63 3.7
48.8 2.62 2.69 2.8 3.17 3.55 3.65 3.72
48.9 2.64 2.71 2.81 3.19 3.57 3.67 3.74
49 2.65 2.72 2.83 3.21 3.59 3.69 3.76
49.1 2.67 2.74 2.85 3.23 3.61 3.71 3.78
49.2 2.69 2.76 2.86 3.25 3.63 3.74 3.81
49.3 2.7 2.77 2.88 3.26 3.65 3.76 3.83
49.4 2.72 2.79 2.9 3.28 3.67 3.78 3.85
49.5 2.73 2.81 2.92 3.3 3.69 3.8 3.87
49.6 2.75 2.82 2.93 3.32 3.71 3.82 3.89
49.7 2.77 2.84 2.95 3.34 3.73 3.84 3.91
49.8 2.78 2.86 2.97 3.36 3.75 3.86 3.93
49.9 2.8 2.87 2.98 3.38 3.77 3.88 3.95
50 2.82 2.89 3 3.4 3.79 3.9 3.98
50.1 2.83 2.9 3.02 3.41 3.81 3.92 4
50.2 2.85 2.92 3.03 3.43 3.83 3.94 4.02
50.3 2.86 2.94 3.05 3.45 3.85 3.97 4.04
50.4 2.88 2.95 3.07 3.47 3.87 3.99 4.06
50.5 2.9 2.97 3.09 3.49 3.89 4.01 4.08
50.6 2.91 2.99 3.1 3.51 3.91 4.03 4.1
50.7 2.93 3 3.12 3.53 3.93 4.05 4.12
50.8 2.94 3.02 3.14 3.55 3.95 4.07 4.15
50.9 2.96 3.04 3.15 3.56 3.98 4.09 4.17
51 2.98 3.05 3.17 3.58 4 4.11 4.19
51.1 2.99 3.07 3.19 3.6 4.02 4.13 4.21
51.2 3.01 3.09 3.2 3.62 4.04 4.16 4.23
51.3 3.02 3.1 3.22 3.64 4.06 4.18 4.25
51.400000000000006 3.04 3.12 3.24 3.66 4.08 4.2 4.28
51.5 3.06 3.13 3.25 3.68 4.1 4.22 4.3
51.6 3.07 3.15 3.27 3.7 4.12 4.24 4.32
51.7 3.09 3.17 3.29 3.71 4.14 4.26 4.34
51.8 3.1 3.18 3.3 3.73 4.16 4.28 4.36
51.900000000000006 3.12 3.2 3.32 3.75 4.18 4.3 4.38
52 3.14 3.22 3.34 3.77 4.2 4.33 4.41
52.1 3.15 3.23 3.35 3.79 4.22 4.35 4.43
52.2 3.17 3.25 3.37 3.81 4.24 4.37 4.45
52.3 3.18 3.26 3.39 3.83 4.27 4.39 4.47
52.400000000000006 3.2 3.28 3.4 3.85 4.29 4.41 4.49
52.5 3.21 3.3 3.42 3.86 4.31 4.43 4.51
52.6 3.23 3.31 3.44 3.88 4.33 4.45 4.54
52.7 3.25 3.33 3.45 3.9 4.35 4.48 4.56
52.8 3.26 3.34 3.47 3.92 4.37 4.5 4.58
52.900000000000006 3.28 3.36 3.49 3.94 4.39 4.52 4.6
53 3.29 3.38 3.5 3.96 4.41 4.54 4.62
53.1 3.31 3.39 3.52 3.98 4.43 4.56 4.64
53.2 3.32 3.41 3.54 3.99 4.45 4.58 4.67
53.3 3.34 3.42 3.55 4.01 4.47 4.6 4.69
53.400000000000006 3.35 3.44 3.57 4.03 4.49 4.63 4.71
53.5 3.37 3.45 3.59 4.05 4.52 4.65 4.73
53.6 3.38 3.47 3.6 4.07 4.54 4.67 4.75
53.7 3.4 3.49 3.62 4.09 4.56 4.69 4.78
53.8 3.42 3.5 3.64 4.11 4.58 4.71 4.8
53.900000000000006 3.43 3.52 3.65 4.13 4.6 4.73 4.82
54 3.45 3.53 3.67 4.14 4.62 4.75 4.84
54.1 3.46 3.55 3.68 4.16 4.64 4.78 4.86
54.2 3.48 3.56 3.7 4.18 4.66 4.8 4.89
54.3 3.49 3.58 3.72 4.2 4.68 4.82 4.91
54.400000000000006 3.51 3.6 3.73 4.22 4.7 4.84 4.93
54.5 3.52 3.61 3.75 4.24 4.72 4.86 4.95
54.6 3.54 3.63 3.77 4.26 4.75 4.88 4.97
